Invoice No,Invoice Date,Customer Code,Customer Name,Customer Type,Region,State,City,Product Code,Product Name,Category,Brand,Quantity,Unit Price,Payment Status,Payment Mode,Sales Person,Gross Sales,Discount %,Discount Amount,Tax %,Tax Amount,Net Sales,Cost,Profit
INV00000001,2024-08-19,CUST000007,Global Textiles Ltd,Retail,South,Delhi,Nagpur,PROD000004,Corduroy 140 GSM,Silk,Raymond,61,321.0,Overdue,UPI,Neha Joshi,19581.0,15,2937.15,18,2995.89,19639.74,14213,2430.85
INV00000002,2024-08-27,CUST000010,Sai Garments Ltd,Online,East,Delhi,Bengaluru,PROD000047,Drill 120 GSM,Viscose,Vardhman,143,573.75,Pending,Cash,Sneha Patel,82046.25,15,12306.94,18,12553.08,82292.39,64779,4960.31
INV00000003,2024-07-17,CUST000010,Sai Garments Ltd,Online,East,Delhi,Bengaluru,PROD000047,Drill 120 GSM,Viscose,Vardhman,391,573.75,Overdue,NEFT,Priya Verma,224336.25,15,33650.44,18,34323.45,225009.26,177123,13562.81
INV00000004,2024-03-11,CUST000017,Om Textiles LLP,Wholesale,North,Karnataka,New Delhi,PROD000040,Lycra 320 GSM,Technical Textile,Trident,137,667.35,Overdue,UPI,Priya Verma,91426.95,0,0.0,18,16456.85,107883.8,73569,17857.95
INV00000005,2024-06-25,CUST000014,Sunrise Fabrics & Co.,Exporter,South,Uttar Pradesh,Surat,PROD000027,Voile 320 GSM,Technical Textile,Vardhman,198,574.75,Paid,UPI,Anjali Gupta,113800.5,0,0.0,18,20484.09,134284.59,93060,20740.5
INV00000006,2024-11-30,CUST000011,Prime Weaving Ltd,Wholesale,East,Uttar Pradesh,Kanpur,PROD000017,Ribstop 320 GSM,Polyester,Arvind,85,787.49,Paid,UPI,Karan Singh,66936.65,0,0.0,18,12048.6,78985.25,48790,18146.65
INV00000007,2024-11-12,CUST000006,Krishna Garments & Co.,Distributor,South,Uttar Pradesh,New Delhi,PROD000036,Ribstop 240 GSM,Linen,Welspun,51,142.16,Pending,UPI,Neha Joshi,7250.16,5,362.51,18,1239.78,8127.43,5406,1481.65
INV00000008,2025-01-28,CUST000005,Global Exports Pvt Ltd,Online,East,Madhya Pradesh,Indore,PROD000014,Oxford 240 GSM,Technical Textile,Welspun,138,752.59,Pending,Cheque,Priya Verma,103857.42,10,10385.74,18,16824.9,110296.58,77004,16467.68
INV00000009,2024-06-07,CUST000004,Global Weaving Ltd,Distributor,East,Delhi,Ahmedabad,PROD000019,Denim 180 GSM,Linen,Vardhman,498,568.96,Overdue,NEFT,Priya Verma,283342.08,15,42501.31,18,43351.34,284192.11,223602,17238.77
INV00000010,2024-04-09,CUST000005,Global Exports Pvt Ltd,Online,East,Madhya Pradesh,Indore,PROD000008,Voile 160 GSM,Cotton Fabric,Reliance,350,622.3,Pending,Cash,Rohit Sharma,217805.0,0,0.0,18,39204.9,257009.9,164150,53655.0
